Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,-1,wRC+,BsR,Fld,-1,Off,Def,WAR,playerid
Cedric Mullins II,Orioles,8,35,32,8,1,0,1,4,3,2,6,0,1,0,,0.239,0.296,0.377,0.673,0.287,,75,0.1,-0.2,,-1,-0.1,0,17929
Brian Goodwin,Angels,49,202,181,42,9,1,6,23,23,17,58,2,3,1,,0.23,0.298,0.392,0.69,0.293,,83,0.1,-0.6,,-4.3,-2.8,0,12858
Garrett Hampson,Rockies,72,291,263,71,13,3,6,32,31,22,61,2,13,5,,0.271,0.328,0.403,0.731,0.312,,76,1.1,-0.5,,-7.9,-1.4,0,19262
Dustin Fowler,Athletics,2,7,6,2,0,0,0,1,1,0,2,0,0,0,,0.24,0.28,0.393,0.673,0.284,,77,0,0,,-0.2,0,0,17098
Odubel Herrera,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.259,0.32,0.43,0.75,0.317,,93,0,0,,0,0,0,11476
Cesar Puello,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.246,0.325,0.379,0.704,0.305,,87,0,0,,0,0,0,7216
Ryan LaMarre,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.251,0.31,0.383,0.693,0.297,,82,0,0,,0,0,0,10700
Abraham Almonte,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.238,0.319,0.41,0.73,0.311,,89,0,0,,0,0,0,5486
Mason Williams,Orioles,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.268,0.318,0.398,0.716,0.305,,87,0,0,,0,0,0,11859
Andrew Toles,Dodgers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.25,0.294,0.404,0.698,0.295,,83,0,0,,0,0,0,13414
Boog Powell,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.235,0.315,0.342,0.656,0.288,,80,0,0,,0,0,0,15103
Leonys Martin,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.23,0.295,0.379,0.674,0.288,,76,0,0,,0,0,0,11846
Ramon Flores,Twins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.246,0.328,0.366,0.694,0.301,,85,0,0,,0,0,0,11165
Denard Span,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.249,0.319,0.401,0.72,0.309,,89,0,0,,0,0,0,8347
Michael Reed,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.227,0.322,0.359,0.681,0.297,,82,0,0,,0,0,0,13228
Adam Jones,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.259,0.305,0.423,0.728,0.307,,88,0,0,,0,0,0,6368
Carlos Gomez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.231,0.302,0.401,0.702,0.3,,84,0,0,,0,0,0,4881
Rosell Herrera,Yankees,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.24,0.304,0.363,0.667,0.288,,77,0,0,,0,0,0,11611
Mikie Mahtook,Phillies,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.227,0.296,0.412,0.708,0.299,,82,0,0,,0,0,0,13130
Zack Granite,Yankees,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.255,0.303,0.349,0.653,0.282,,73,0,0,,0,0,0,15343
Jaycob Brugman,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.226,0.291,0.368,0.659,0.282,,77,0,0,,0,0,0,14936
Socrates Brito,Pirates,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.243,0.291,0.396,0.686,0.29,,78,0,0,,0,0,0,12944
Ian Miller,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.242,0.298,0.338,0.636,0.276,,68,0,0,,0,0,0,15156
Shane Robinson,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.243,0.3,0.346,0.646,0.28,,72,0,0,,0,0,0,4249
Anthony Gose,Indians,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.234,0.298,0.368,0.666,0.287,,72,0,0,,0,0,0,5097
JB Shuck,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.246,0.308,0.362,0.67,0.289,,76,0,0,,0,0,0,6677
Carlos Tocci,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.24,0.294,0.336,0.63,0.274,,66,0,0,,0,0,0,14558
Julio Borbon,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.248,0.3,0.352,0.652,0.281,,70,0,0,,0,0,0,3209
Gorkys Hernandez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.222,0.29,0.357,0.647,0.279,,70,0,0,,0,0,0,4146
Ben Revere,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.248,0.291,0.339,0.63,0.272,,69,0,0,,0,0,0,4712
Gabriel Guerrero,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.235,0.269,0.373,0.642,0.271,,65,0,0,,0,0,0,14528
Jake Smolinski,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.219,0.283,0.373,0.657,0.281,,71,0,0,,0,0,0,5408
Johnny Davis,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.227,0.277,0.317,0.594,0.258,,60,0,0,,-0.1,0,0,15830
Desmond Jennings,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.209,0.274,0.35,0.624,0.268,,67,0,0,,0,0,0,1965
Isaac Galloway,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.218,0.268,0.349,0.617,0.264,,60,0,0,,-0.1,0,0,5238
Eric Young Jr.,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.222,0.28,0.326,0.606,0.263,,63,0,0,,0,0,0,7158
Gregor Blanco,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.22,0.291,0.345,0.636,0.275,,67,0,0,,0,0,0,3123
Paulo Orlando,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.226,0.27,0.353,0.623,0.265,,61,0,0,,-0.1,0,0,8628
Matt den Dekker,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.211,0.27,0.353,0.623,0.267,,62,0,0,,-0.1,0,0,11385
Drew Jackson,Dodgers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.197,0.268,0.306,0.574,0.251,,55,0,0,,-0.1,0,0,17807
Trayce Thompson,Diamondbacks,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.19,0.252,0.354,0.606,0.257,,54,0,0,,-0.1,0,0,9952
Skye Bolt,Athletics,2,6,6,1,0,0,0,1,1,0,2,0,0,0,,0.215,0.279,0.346,0.625,0.269,,68,0,0,,-0.3,0,0,17723
Erick Mejia,Royals,11,46,42,10,2,0,0,4,4,3,9,0,1,1,,0.243,0.297,0.339,0.637,0.276,,67,0,0,,-1.9,0.2,0,15817
Guillermo Heredia,Pirates,70,283,251,63,13,1,5,28,27,23,55,5,4,2,,0.253,0.327,0.37,0.697,0.303,,86,0.3,-0.6,,-5,-4.3,0,18721
Keon Broxton,Brewers,2,7,6,1,0,0,0,1,1,1,3,0,0,0,,0.191,0.274,0.333,0.607,0.264,,58,0,0,,-0.4,0,0,9253
Michael Hermosillo,Angels,10,39,35,7,1,0,1,4,4,3,12,1,1,0,,0.215,0.287,0.358,0.646,0.279,,73,0,0.1,,-1.3,-0.2,0,16285
Braden Bishop,Mariners,16,66,60,14,3,0,1,6,6,5,16,1,1,0,,0.231,0.294,0.339,0.633,0.275,,72,0,0.4,,-2.3,-0.2,0,17806
Harold Castro,Tigers,8,34,33,9,1,0,0,3,3,1,7,0,0,0,,0.263,0.289,0.359,0.648,0.277,,68,0,-0.2,,-1.4,-0.1,0,14691
Drew Robinson,,3,13,11,2,0,0,0,1,1,1,5,0,0,0,,0.203,0.294,0.341,0.635,0.276,,71,0,0,,-0.5,-0.2,0,11761
Tim Locastro,Diamondbacks,33,137,122,31,7,1,2,15,13,8,26,5,5,2,,0.25,0.32,0.373,0.693,0.301,,82,0.5,-0.2,,-2.7,-2,0,15124
Jacoby Ellsbury,,8,34,30,7,1,0,1,3,3,3,7,0,1,0,,0.235,0.307,0.347,0.654,0.284,,73,0,-0.5,,-1.1,-0.3,0,4727
Yonathan Daza,Rockies,10,40,37,11,2,0,1,4,5,2,6,0,1,0,,0.3,0.335,0.424,0.759,0.323,,83,0,0,,-0.9,-0.8,0,15794
Rajai Davis,,13,54,49,12,2,0,1,5,5,3,13,1,2,1,,0.237,0.283,0.357,0.639,0.274,,66,0.1,-0.4,,-2.2,-0.5,-0.1,3708
Michael A. Taylor,Nationals,26,105,95,22,5,0,3,11,12,8,33,1,4,1,,0.236,0.296,0.39,0.685,0.291,,74,0.4,0.1,,-3.2,-1.1,-0.1,11489
Tyrone Taylor,Brewers,7,27,25,6,1,0,1,3,3,2,7,0,0,0,,0.224,0.274,0.367,0.642,0.274,,64,0,-0.1,,-1.3,-0.5,-0.1,13675
