"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Ryan McBroom","Royals","60","246","223","57","12","0","7","27","28","18","65","3","1","1","",".255",".315",".410",".725",".308","","88","-0.1","0.1","","-3.7","-4.1","0.1","","600.5","16524"
"Greg Bird","","19","80","70","16","3","0","4","10","11","9","20","1","0","0","",".234",".325",".449",".774",".327","","94","0.0","0.3","","-0.6","-1.3","0.1","","600.5","14131"
"Kevin Cron","","12","48","43","11","2","0","3","6","7","4","13","1","0","0","",".247",".316",".484",".800",".332","","103","0.0","0.1","","0.2","-1.1","0.1","","592.1","16211"
"Logan Morrison","","12","48","42","10","2","0","3","6","7","5","11","1","0","0","",".239",".320",".476",".796",".332","","103","0.0","-0.1","","0.1","-1.2","0.0","","999.0","9205"
"Aramis Garcia","Giants","5","18","17","4","1","0","1","2","2","1","6","0","0","0","",".212",".266",".353",".619",".264","","63","0.0","0.0","","-0.9","0.4","0.0","","999.0","16925"
"Jared Walsh","Angels","3","13","12","3","1","0","1","2","2","1","4","0","0","0","",".236",".304",".427",".731",".308","","93","0.0","0.0","","-0.1","-0.2","0.0","","600.8","18607"
"Ryon Healy","","5","20","19","5","1","0","1","2","3","1","5","0","0","0","",".257",".303",".464",".768",".320","","95","-0.1","-0.3","","-0.2","-0.3","0.0","","599.4","15447"
"Bobby Bradley","","5","20","18","4","1","0","1","3","3","2","7","0","0","0","",".231",".297",".464",".762",".316","","92","0.0","0.0","","-0.2","-0.4","0.0","","999.0","17278"
"David Freese","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".265",".346",".447",".793",".337","","108","0.0","0.0","","0.0","0.0","0.0","","999.0","9549"
"Trey Mancini","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".271",".337",".482",".819",".343","","112","0.0","0.0","","0.0","0.0","0.0","","226.8","15149"
"Joe Mauer","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".330",".366",".696",".302","","85","0.0","0.0","","0.0","0.0","0.0","","999.0","1857"
"Tomas Telis","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".272",".313",".385",".697",".297","","82","0.0","0.0","","0.0","0.0","0.0","","999.0","10067"
"John Jaso","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".311",".370",".681",".295","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","5887"
"Justin Bour","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".335",".471",".806",".338","","109","0.0","0.0","","0.0","0.0","0.0","","999.0","9744"
"Eric Campbell","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".327",".379",".707",".307","","93","0.0","0.0","","0.0","0.0","0.0","","999.0","6938"
"Mike Napoli","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".284",".376",".660",".283","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","3057"
"Rangel Ravelo","Cardinals","5","20","18","5","1","0","1","2","2","1","4","0","0","0","",".264",".325",".414",".740",".315","","96","0.0","0.0","","-0.1","-0.5","0.0","","999.0","10839"
"Jose Fernandez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".271",".322",".435",".758",".320","","97","0.0","0.0","","0.0","0.0","0.0","","999.0","19254"
"Danny Valencia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".312",".423",".735",".311","","91","0.0","0.0","","0.0","0.0","0.0","","999.0","6364"
"Byung-ho Park","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".315",".438",".753",".316","","94","0.0","0.0","","0.0","0.0","0.0","","999.0","18497"
"Kennys Vargas","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".316",".419",".736",".312","","92","0.0","0.0","","0.0","0.0","0.0","","999.0","12101"
"Tyler Austin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".302",".434",".735",".309","","90","0.0","0.0","","0.0","0.0","0.0","","999.0","11850"
"Luis Valbuena","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".292",".401",".693",".293","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","4969"
"Steve Pearce","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".313",".409",".722",".308","","89","0.0","0.0","","0.0","0.0","0.0","","999.0","9957"
"Tyler White","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".316",".400",".716",".307","","91","0.0","0.0","","0.0","0.0","0.0","","999.0","15564"
"Brandon Moss","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".285",".430",".715",".300","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","4467"
"Jason Rogers","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".320",".392",".712",".306","","88","0.0","0.0","","0.0","0.0","0.0","","999.0","11773"
"Jefry Marte","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".300",".422",".723",".306","","87","0.0","0.0","","0.0","0.0","0.0","","999.0","5107"
"Tommy Joseph","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".299",".441",".740",".310","","87","0.0","0.0","","0.0","0.0","0.0","","600.9","10349"
"Frank Schwindel","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".293",".426",".719",".302","","85","0.0","0.0","","0.0","0.0","0.0","","999.0","15351"
"Rob Segedin","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".285",".375",".661",".282","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","11446"
"Adam Lind","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".300",".429",".729",".305","","87","0.0","0.0","","0.0","0.0","0.0","","999.0","8027"
"Dae-Ho Lee","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".261",".315",".409",".724",".306","","88","0.0","0.0","","0.0","0.0","0.0","","999.0","18722"
"Seth Mejias-Brean","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".290",".339",".630",".273","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","13905"
"Dustin Ackley","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".304",".346",".651",".282","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","10099"
"Adrian Gonzalez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".312",".409",".721",".305","","87","0.0","0.0","","0.0","0.0","0.0","","999.0","1908"
"Mark Reynolds","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".299",".382",".681",".292","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","7619"
"Chris Parmelee","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".301",".369",".669",".288","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","2554"
"Brock Stassi","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".317",".360",".677",".295","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","12244"
"Matt Dominguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".274",".367",".641",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","4903"
"Brandon Dixon","Tigers","3","14","12","3","1","0","0","1","2","1","4","0","0","0","",".238",".284",".408",".692",".292","","78","0.0","-0.2","","-0.4","-0.1","0.0","","600.3","15214"
"Chris Colabello","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".296",".372",".668",".288","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","13051"
"Tyler Moore","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".276",".385",".661",".280","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","7244"
"Xavier Scruggs","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".294",".384",".678",".290","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","7409"
"Blake Lalli","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".261",".306",".568",".247","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","9246"
"Scott Van Slyke","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".280",".349",".629",".271","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","4365"
"Ryan Rua","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".266",".363",".629",".268","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","12409"
"Chris Johnson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".273",".361",".634",".270","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","1191"
"Ben Paulsen","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".284",".379",".663",".282","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","9741"
"Jordan Pacheco","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".270",".326",".596",".257","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","2677"
