Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,-1,wRC+,BsR,Fld,-1,Off,Def,WAR,playerid
Jose Osuna,Pirates,75,306,280,74,19,1,9,33,38,20,59,2,2,1,,0.265,0.317,0.439,0.756,0.319,,97,-0.3,-2.1,,-1.6,-5.9,0.2,12937
Steven Duggar,Giants,71,301,270,65,14,2,5,29,26,25,85,2,6,3,,0.242,0.307,0.361,0.668,0.289,,79,0.4,-0.9,,-7.9,0.3,0.2,17719
Austin Slater,Giants,51,209,183,46,9,1,5,22,21,20,57,3,3,1,,0.25,0.333,0.389,0.721,0.311,,94,0.3,-0.3,,-1.4,-3.3,0.2,16153
Hunter Pence,Giants,72,301,274,71,13,1,10,32,37,21,71,2,4,2,,0.259,0.315,0.427,0.742,0.314,,95,0,-1.4,,-1.8,-6.1,0.2,8252
Kyle Lewis,Mariners,128,542,492,115,24,1,17,56,61,41,156,3,3,1,,0.233,0.294,0.392,0.687,0.292,,83,0.6,-0.3,,-10.9,-6.7,0.2,19508
Billy McKinney,Blue Jays,34,141,126,30,7,1,5,17,17,12,33,1,1,0,,0.239,0.308,0.439,0.747,0.314,,95,0,-0.1,,-0.9,-2.5,0.1,15654
Jake Cave,Twins,23,91,82,21,4,1,3,11,11,6,26,1,1,0,,0.256,0.315,0.423,0.738,0.312,,92,0.1,-0.1,,-0.8,-0.9,0.1,14477
Garrett Cooper,Marlins,43,185,167,44,9,1,5,20,21,14,46,2,0,0,,0.262,0.323,0.42,0.744,0.316,,97,-0.2,0.1,,-0.9,-3.7,0.1,15279
Clint Frazier,Yankees,21,86,78,19,4,0,4,11,11,6,22,1,1,0,,0.246,0.308,0.443,0.751,0.316,,96,0,-0.6,,-0.5,-1.7,0.1,15983
Ryan McBroom,Royals,45,186,169,43,9,0,6,20,21,13,49,2,1,0,,0.254,0.315,0.408,0.723,0.307,,88,0,0.1,,-2.9,-3.1,0.1,16524
Carlos Gonzalez,,24,102,91,22,5,0,4,11,13,9,27,1,1,0,,0.237,0.305,0.412,0.717,0.303,,86,0,0.2,,-1.9,-1,0.1,7287
Harold Ramirez,Marlins,21,89,83,23,5,0,2,9,10,4,17,1,1,0,,0.275,0.316,0.419,0.735,0.311,,94,0.1,-0.2,,-0.7,-1.7,0,14387
Scott Heineman,Rangers,29,119,107,27,5,1,3,13,13,9,30,1,2,1,,0.258,0.322,0.395,0.717,0.308,,81,-0.1,0.1,,-2.9,-0.9,0,14453
Jaylin Davis,Giants,23,92,83,20,4,0,3,9,11,7,26,1,1,1,,0.241,0.303,0.41,0.714,0.303,,88,0,-0.1,,-1.4,-1.2,0,19552
Jay Bruce,Phillies,56,236,213,50,11,0,13,29,36,20,58,1,1,1,,0.234,0.299,0.473,0.773,0.321,,96,-0.4,-1.1,,-1.8,-5.6,0,9892
Josh Naylor,Padres,3,14,12,3,1,0,0,2,2,1,2,0,0,0,,0.265,0.331,0.435,0.765,0.323,,100,0,-0.1,,0,-0.2,0,18839
Kean Wong,Giants,3,13,12,3,1,0,0,1,1,1,3,0,0,0,,0.251,0.304,0.356,0.66,0.284,,76,0,0,,-0.4,0.1,0,15994
Justin Williams,Cardinals,3,13,12,3,1,0,0,1,2,1,3,0,0,0,,0.249,0.302,0.404,0.707,0.299,,85,0,0,,-0.3,-0.2,0,15490
Abraham Almonte,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.238,0.319,0.41,0.73,0.311,,89,0,0,,0,0,0,5486
Mason Williams,Orioles,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.268,0.318,0.398,0.716,0.305,,87,0,0,,0,0,0,11859
Pablo Reyes,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.253,0.311,0.402,0.713,0.303,,86,0,0,,0,0,0,16357
Daniel Palka,White Sox,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.226,0.3,0.435,0.735,0.308,,92,0,0,,0,0,0,14897
Ramon Flores,Twins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.246,0.328,0.366,0.694,0.301,,85,0,0,,0,0,0,11165
Jabari Blash,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.211,0.316,0.405,0.721,0.309,,90,0,0,,0,0,0,11247
Junior Lake,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.239,0.318,0.395,0.713,0.305,,89,0,0,,0,0,0,4672
Adam Jones,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.259,0.305,0.423,0.728,0.307,,88,0,0,,0,0,0,6368
Joey Rickard,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.243,0.311,0.377,0.688,0.296,,84,0,0,,0,0,0,13277
Jorge Bonifacio,Tigers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.233,0.298,0.401,0.699,0.297,,82,0,0,,0,0,0,12174
Carlos Gomez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.231,0.302,0.401,0.702,0.3,,84,0,0,,0,0,0,4881
Rosell Herrera,Yankees,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.24,0.304,0.363,0.667,0.288,,77,0,0,,0,0,0,11611
Dylan Cozens,Rays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.196,0.286,0.392,0.678,0.288,,81,0,0,,0,0,0,15115
Curtis Granderson,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.216,0.31,0.393,0.703,0.302,,85,0,0,,0,0,0,4747
John Andreoli,Red Sox,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.227,0.321,0.35,0.671,0.294,,77,0,0,,0,0,0,13012
Patrick Kivlehan,Blue Jays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.223,0.286,0.413,0.699,0.294,,81,0,0,,0,0,0,13910
Jarrett Parker,Mets,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.208,0.301,0.384,0.685,0.292,,83,0,0,,0,0,0,11624
Rafael Ortega,Braves,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.251,0.316,0.382,0.698,0.299,,81,0,0,,0,0,0,10323
Aaron Altherr,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.22,0.301,0.385,0.685,0.294,,80,0,0,,0,0,0,11270
Mike Gerber,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.231,0.287,0.384,0.671,0.286,,77,0,0,,0,0,0,16115
Socrates Brito,Pirates,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.243,0.291,0.396,0.686,0.29,,78,0,0,,0,0,0,12944
Shane Robinson,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.243,0.3,0.346,0.646,0.28,,72,0,0,,0,0,0,4249
