"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Darwin Barney","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".294",".347",".642",".277","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","2430"
"Yunel Escobar","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".315",".364",".679",".294","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","4191"
"Aaron Hill","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".290",".329",".619",".271","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","6104"
"Jhonny Peralta","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".281",".356",".637",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","1738"
"Will Middlebrooks","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".257",".356",".613",".261","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","7002"
"Deven Marrero","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".263",".317",".580",".251","","51","0.0","0.0","","-0.1","0.0","0.0","","999.0","13325"
"Adam Rosales","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".262",".342",".604",".258","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","9682"
"Chase d'Arnaud","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".274",".318",".591",".258","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","6652"
"Darnell Sweeney","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".268",".318",".586",".255","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","13284"
"Paul Janish","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".279",".292",".571",".253","","52","0.0","0.0","","-0.1","0.0","0.0","","999.0","7412"
"Pete Kozma","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".269",".312",".581",".253","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","2539"
"Jordan Pacheco","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".270",".326",".596",".257","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","2677"
"Pablo Sandoval","","23","96","87","22","5","0","4","10","12","6","21","1","0","0","",".251",".304",".437",".741",".310","","93","-0.3","-0.5","","-1.2","-1.9","0.0","","600.9","5409"
"Reid Brignac","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".274",".306",".580",".255","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","8380"
"Josh Rutledge","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".270",".293",".563",".248","","49","0.0","0.0","","-0.1","0.0","0.0","","999.0","11167"
"Adrian Sanchez","","3","13","12","3","1","0","0","1","1","1","3","0","0","0","",".260",".298",".365",".663",".283","","69","0.0","-0.1","","-0.5","0.0","0.0","","999.0","11338"
"Edwin Rios","Dodgers","3","13","12","3","1","0","1","2","2","1","5","0","0","0","",".227",".281",".430",".711",".297","","84","0.0","0.0","","-0.3","-0.4","0.0","","600.3","18316"
"Patrick Wisdom","","11","47","42","9","2","0","2","5","5","4","16","0","1","0","",".203",".272",".371",".643",".273","","71","0.0","0.0","","-1.7","-0.5","-0.1","","600.9","13602"
"Kevin Kramer","Pirates","18","72","65","16","3","0","1","7","7","5","20","1","1","0","",".239",".298",".362",".660",".284","","74","0.1","-0.2","","-2.4","-0.8","-0.1","","999.0","17689"
"Kyle Farmer","Reds","27","109","99","24","5","0","3","11","11","7","26","1","1","1","",".237",".290",".374",".664",".283","","69","0.0","-0.4","","-4.4","0.0","-0.1","","600.9","14813"
