"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Ryan Jeffers","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".253",".308",".410",".718",".305","","88","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007051"
"Cal Raleigh","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".281",".404",".685",".288","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3008377"
"Brett Cumberland","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".311",".372",".682",".295","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915611"
"Tomas Telis","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".272",".313",".385",".697",".297","","82","0.0","0.0","","0.0","0.0","0.0","","999.0","10067"
"Derek Norris","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".289",".402",".691",".293","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","6867"
"Cooper Hummel","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".315",".380",".695",".301","","82","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918412"
"Lorenzo Quintana","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".277",".400",".677",".286","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005394"
"Brett Sullivan","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".290",".374",".664",".283","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857232"
"Andrew Knapp","Phillies","21","84","73","16","3","0","2","8","8","9","26","1","0","0","",".214",".307",".343",".650",".282","","70","0.1","-0.6","","-3.2","1.1","0.0","","600.9","14942"
"Juan Graterol","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".263",".298",".360",".658",".283","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","5398"
"Wilson Garcia","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".288",".410",".698",".292","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","sa596287"
"Jamie Ritchie","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".309",".328",".637",".281","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829058"
"Connor Wong","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".289",".401",".690",".292","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873978"
"Nick Dini","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".253",".305",".411",".716",".303","","85","0.0","0.0","","0.0","0.0","0.0","","999.0","18206"
"Miguel Montero","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".305",".381",".686",".294","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","3364"
"Kade Scivicque","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".294",".375",".669",".285","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875053"
"Riley Adams","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".294",".359",".653",".282","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829749"
"Carlos Perez","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".288",".375",".664",".283","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","10642"
"Carlos Garay","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".261",".299",".367",".666",".286","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657431"
"Joey Bart","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".282",".388",".670",".283","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007786"
"Jhon Nunez","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".294",".363",".657",".282","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736923"
