Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,-1,wRC+,BsR,Fld,-1,Off,Def,WAR,playerid
Billy McKinney,Blue Jays,34,141,126,30,7,1,5,17,17,12,33,1,1,0,,0.239,0.308,0.439,0.747,0.314,,95,0,-0.1,,-0.9,-2.5,0.1,15654
Jason Martin,Pirates,70,283,259,66,13,2,8,29,31,19,61,1,6,3,,0.255,0.308,0.411,0.719,0.304,,87,0.2,0.2,,-4.7,-3.4,0.1,16429
Dwight Smith Jr.,Orioles,47,200,180,47,9,1,6,23,23,16,40,2,3,1,,0.259,0.324,0.424,0.748,0.318,,96,-0.1,-2.2,,-1.2,-4.9,0.1,13473
Clint Frazier,Yankees,21,86,78,19,4,0,4,11,11,6,22,1,1,0,,0.246,0.308,0.443,0.751,0.316,,96,0,-0.6,,-0.5,-1.7,0.1,15983
LaMonte Wade,Twins,8,33,28,7,1,0,1,4,3,4,6,0,0,0,,0.256,0.345,0.381,0.726,0.316,,95,0,-0.3,,-0.2,-0.4,0.1,18126
Dylan Moore,Mariners,11,45,41,9,2,0,1,5,4,3,11,1,2,1,,0.221,0.29,0.362,0.653,0.281,,76,0,0,,-1.4,0.3,0.1,18042
Josh VanMeter,Reds,28,118,105,26,6,1,4,14,14,11,25,1,3,1,,0.249,0.322,0.426,0.747,0.317,,91,0,0.2,,-1.3,-1.9,0.1,15170
Harold Ramirez,Marlins,21,89,83,23,5,0,2,9,10,4,17,1,1,0,,0.275,0.316,0.419,0.735,0.311,,94,0.1,-0.2,,-0.7,-1.7,0,14387
Adam Duvall,Braves,35,144,129,30,6,1,7,17,21,11,38,2,1,0,,0.232,0.299,0.456,0.755,0.314,,90,0.2,0.2,,-1.6,-2.7,0,10950
Brian O'Grady,Rays,6,26,23,5,1,0,1,3,3,2,8,0,1,0,,0.221,0.295,0.399,0.694,0.294,,85,0,0.1,,-0.5,0,0,16729
Austin Dean,Cardinals,8,34,31,8,2,0,1,4,4,2,7,0,0,0,,0.269,0.32,0.441,0.761,0.321,,99,0,-0.2,,0,-0.8,0,18288
Josh Naylor,Padres,3,14,12,3,1,0,0,2,2,1,2,0,0,0,,0.265,0.331,0.435,0.765,0.323,,100,0,-0.1,,0,-0.2,0,18839
Nicky Delmonico,White Sox,3,14,12,3,1,0,0,2,2,1,3,0,0,0,,0.236,0.317,0.417,0.734,0.312,,95,0,-0.1,,-0.1,-0.2,0,13157
Brian Goodwin,Angels,49,202,181,42,9,1,6,23,23,17,58,2,3,1,,0.23,0.298,0.392,0.69,0.293,,83,0.1,-0.6,,-4.3,-2.8,0,12858
Derek Dietrich,Reds,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.239,0.322,0.432,0.754,0.319,,93,0,0,,0,0,0,10542
Cesar Puello,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.246,0.325,0.379,0.704,0.305,,87,0,0,,0,0,0,7216
Dilson Herrera,Orioles,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.235,0.295,0.411,0.706,0.298,,82,0,0,,0,0,0,14335
Colby Rasmus,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.227,0.298,0.434,0.732,0.307,,89,0,0,,0,0,0,9893
Ryan LaMarre,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.251,0.31,0.383,0.693,0.297,,82,0,0,,0,0,0,10700
